id,method,valid,title,description
11,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId} - Retrieve an account by id,"This API retrieves an account by its ID.

As a user of KillBill API, I should be able to retrieve an account by its ID based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `accountWithBalance` (`boolean`, default: `false`): If true, includes account balance. Required: false.
- `accountWithBalanceAndCBA` (`boolean`, default: `false`): If true, includes account balance and CBA. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON `Account` object (as defined in #/definitions/Account).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
12,PUT,True,Implement/Test API: PUT /1.0/kb/accounts/{accountId} - Update account,"This API updates an existing account.

As a user of KillBill API, I should be able to update an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

PUT {{baseUrl}}/1.0/kb/accounts/{accountId}

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account to update. Required: true.

Query Parameters:
- `treatNullAsReset` (`boolean`, default: `false`): If true, null values in the request body will reset corresponding fields. Required: false.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user performing the update. Required: true.
- `X-Killbill-Reason` (`string`): The reason for the update. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: An `Account` object (as defined in #/definitions/Account) with the fields to be updated.

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if invalid account data is supplied."
13,DELETE,True,Implement/Test API: DELETE /1.0/kb/accounts/{accountId} - Close account,"This API closes an account.

As a user of KillBill API, I should be able to close an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

DELETE {{baseUrl}}/1.0/kb/accounts/{accountId}

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account to close. Required: true.

Query Parameters:
- `cancelAllSubscriptions` (`boolean`, default: `false`): If true, cancels all active subscriptions for the account. Required: false.
- `writeOffUnpaidInvoices` (`boolean`, default: `false`): If true, writes off all unpaid invoices. Required: false.
- `itemAdjustUnpaidInvoices` (`boolean`, default: `false`): If true, item adjusts all unpaid invoices. Required: false.
- `removeFutureNotifications` (`boolean`, default: `true`): If true, removes future notifications for the account. Required: false.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user closing the account. Required: true.
- `X-Killbill-Reason` (`string`): The reason for closing the account. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied."
14,GET,True,Implement/Test API: GET /1.0/kb/accounts - Retrieve an account by external key,"This API retrieves an account by its external key.

As a user of KillBill API, I should be able to retrieve an account by its external key based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts

Query Parameters:
- `externalKey` (`string`): The external key of the account. Required: true.
- `accountWithBalance` (`boolean`, default: `false`): If true, includes account balance. Required: false.
- `accountWithBalanceAndCBA` (`boolean`, default: `false`): If true, includes account balance and CBA. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON `Account` object (as defined in #/definitions/Account).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 404 if the account is not found."
15,POST,True,Implement/Test API: POST /1.0/kb/accounts - Create account,"This API creates a new account.

As a user of KillBill API, I should be able to create an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/accounts

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user creating the account. Required: true.
- `X-Killbill-Reason` (`string`): The reason for creating the account. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: An `Account` object (as defined in #/definitions/Account) specifying the details of the new account.

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 201 (Account created successfully).
- The response body will be a JSON `Account` object (as defined in #/definitions/Account) representing the created account.
- The `Location` header will contain the URL of the newly created account.
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if invalid account data is supplied."
16,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/emails - Retrieve an account emails,"This API retrieves emails associated with a specific account.

As a user of KillBill API, I should be able to retrieve account emails based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/emails

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `AccountEmail` objects (as defined in #/definitions/AccountEmail).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied."
17,POST,True,Implement/Test API: POST /1.0/kb/accounts/{accountId}/emails - Add account email,"This API adds an email to a specific account.

As a user of KillBill API, I should be able to add an email to an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/accounts/{accountId}/emails

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user adding the email. Required: true.
- `X-Killbill-Reason` (`string`): The reason for adding the email. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
- Consumes: application/json
- Required: true
- Schema: An `AccountEmail` object (as defined in #/definitions/AccountEmail) specifying the email to add.

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 201 (Email created successfully).
- The response body will be a JSON array of `AccountEmail` objects (as defined in #/definitions/AccountEmail) representing the added email(s).
- The `Location` header will contain the URL of the newly created email resource (or a list, tbc by API behavior).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied or the request body is malformed.
- Respond with HTTP status code 404 if the account is not found."
18,GET,True,Implement/Test API: GET /1.0/kb/accounts/pagination - List accounts,"This API lists accounts with pagination support.

As a user of KillBill API, I should be able to list accounts based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/pagination

Query Parameters:
- `offset` (`integer`, format: `int64`, default: `0`): The offset for pagination. Required: false.
- `limit` (`integer`, format: `int64`, default: `100`): The limit for pagination. Required: false.
- `accountWithBalance` (`boolean`, default: `false`): If true, includes account balance for each account. Required: false.
- `accountWithBalanceAndCBA` (`boolean`, default: `false`): If true, includes account balance and CBA for each account. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve for each account. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Account` objects (as defined in #/definitions/Account).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code >=400 depending on the error encountered (e.g., invalid pagination parameters)."
19,GET,True,Implement/Test API: GET /1.0/kb/accounts/search/{searchKey} - Search accounts,"This API searches for accounts based on a search key.

As a user of KillBill API, I should be able to search for accounts based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/search/{searchKey}

Path Parameters:
- `searchKey` (`string`, pattern: `.*`): The search key. Required: true.

Query Parameters:
- `offset` (`integer`, format: `int64`, default: `0`): The offset for pagination. Required: false.
- `limit` (`integer`, format: `int64`, default: `100`): The limit for pagination. Required: false.
- `accountWithBalance` (`boolean`, default: `false`): If true, includes account balance for each account. Required: false.
- `accountWithBalanceAndCBA` (`boolean`, default: `false`): If true, includes account balance and CBA for each account. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve for each account. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Account` objects (as defined in #/definitions/Account) matching the search criteria.
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code >=400 depending on the error encountered (e.g., invalid search key or pagination parameters)."
20,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/bundles - Retrieve bundles for account,"This API retrieves bundles for a specific account.

As a user of KillBill API, I should be able to retrieve bundles for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/bundles

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `externalKey` (`string`): Filter bundles by external key. Required: false.
- `bundlesFilter` (`string`): Additional filter for bundles. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Bundle` objects (as defined in #/definitions/Bundle).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
21,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/timeline - Retrieve account timeline,"This API retrieves the timeline for a specific account, including account details, bundles, invoices, and payments.

As a user of KillBill API, I should be able to retrieve the account timeline based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/timeline

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `parallel` (`boolean`, default: `false`): If true, fetches parts of the timeline in parallel. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON `AccountTimeline` object (as defined in #/definitions/AccountTimeline).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
22,PUT,True,Implement/Test API: PUT /1.0/kb/accounts/{accountId}/cbaRebalancing - Rebalance account CBA,"This API rebalances the Credit Balance Adjustment (CBA) for an existing account.

As a user of KillBill API, I should be able to rebalance an account's CBA based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

PUT {{baseUrl}}/1.0/kb/accounts/{accountId}/cbaRebalancing

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user performing the CBA rebalancing. Required: true.
- `X-Killbill-Reason` (`string`): The reason for the CBA rebalancing. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied."
23,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/invoices - Retrieve account invoices,"This API retrieves invoices for a specific account.

As a user of KillBill API, I should be able to retrieve invoices for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/invoices

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `startDate` (`string`, format: `date`): Retrieve invoices created on or after this date. Required: false.
- `endDate` (`string`, format: `date`): Retrieve invoices created on or before this date. Required: false.
- `withMigrationInvoices` (`boolean`, default: `false`): If true, include migration invoices. Required: false.
- `unpaidInvoicesOnly` (`boolean`, default: `false`): If true, retrieve only unpaid invoices. Required: false.
- `includeVoidedInvoices` (`boolean`, default: `false`): If true, include voided invoices. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `Invoice` objects (as defined in #/definitions/Invoice).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
24,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/invoicePayments - Retrieve account invoice payments,"This API retrieves invoice payments for a specific account.

As a user of KillBill API, I should be able to retrieve invoice payments for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/invoicePayments

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `withPluginInfo` (`boolean`, default: `false`): If true, include plugin information in the response. Required: false.
- `withAttempts` (`boolean`, default: `false`): If true, include payment attempts in the response. Required: false.
- `pluginProperty` (`array` of `string`, collectionFormat: `multi`): Additional plugin properties for filtering or specific behavior. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `InvoicePayment` objects (as defined in #/definitions/InvoicePayment).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
25,POST,True,Implement/Test API: POST /1.0/kb/accounts/{accountId}/invoicePayments - Trigger a payment for all unpaid invoices,"This API triggers a payment for all unpaid invoices of a specific account.

As a user of KillBill API, I should be able to trigger payment for all unpaid invoices of an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

POST {{baseUrl}}/1.0/kb/accounts/{accountId}/invoicePayments

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `paymentMethodId` (`string`, format: `uuid`): The ID of the payment method to use. If not provided, the default payment method for the account will be used. Required: false.
- `externalPayment` (`boolean`, default: `false`): Indicates if this is an external payment (not processed by Kill Bill). Required: false.
- `paymentAmount` (`number`): The amount to pay. If not specified, Kill Bill will attempt to pay the total outstanding balance. Required: false.
- `targetDate` (`string`, format: `date`): The target date for the payment. Required: false.
- `pluginProperty` (`array` of `string`, collectionFormat: `multi`): Additional plugin properties. Required: false.

Header Parameters:
- `X-Killbill-CreatedBy` (`string`): The user initiating the payment. Required: true.
- `X-Killbill-Reason` (`string`): The reason for the payment. Required: false.
- `X-Killbill-Comment` (`string`): Additional comments. Required: false.

Request Body:
N/A (though consumes `application/json`, typically used for query params or headers here)

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 204 (Successful operation).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 404 if an invalid account ID is supplied."
26,GET,True,Implement/Test API: GET /1.0/kb/accounts/{accountId}/paymentMethods - Retrieve account payment methods,"This API retrieves payment methods for a specific account.

As a user of KillBill API, I should be able to retrieve payment methods for an account based on the following acceptance criteria.

Acceptance Criteria

HTTP Request

GET {{baseUrl}}/1.0/kb/accounts/{accountId}/paymentMethods

Path Parameters:
- `accountId` (`string`, format: `uuid`, pattern: `\w+-\w+-\w+-\w+-\w+`): The ID of the account. Required: true.

Query Parameters:
- `withPluginInfo` (`boolean`, default: `false`): If true, include plugin information in the response. Required: false.
- `includedDeleted` (`boolean`, default: `false`): If true, include deleted payment methods. Required: false.
- `pluginProperty` (`array` of `string`, collectionFormat: `multi`): Additional plugin properties for filtering or specific behavior. Required: false.
- `audit` (`string`, default: `NONE`, enum: `[FULL, MINIMAL, NONE]`): Level of audit information to retrieve. Required: false.

Request Body:
N/A

Other Notes:
N/A

Acceptance Scenarios:

Success Scenario:
- If successful, returns a status code of 200 (successful operation).
- The response body will be a JSON array of `PaymentMethod` objects (as defined in #/definitions/PaymentMethod).
- Produces: application/json.

Error Scenarios:
- Respond with HTTP status code 400 if an invalid account ID is supplied.
- Respond with HTTP status code 404 if the account is not found."
